RowNumber;CustomerId;Surname;CPF;CEP;CreditScore;Geography;Gender;Age;Tenure;Balance;NumOfProducts;HasCrCard;IsActiveMember;EstimatedSalary;Exited
67;15696061;Brownless;7.7436E+11;8630534;581;Germany;Female;34;1;101633.04;1;1;0;110431.51;0
68;15641582;Chibugo;4.81056E+11;8878107;735;Germany;Male;43;10;123180.01;2;1;1;196673.28;0
69;15638424;Glauert;2.14708E+11;2585632;661;Germany;Female;35;5;150725.53;2;0;1;113656.85;0
70;15755648;Pisano;4.96221E+11;4854747;675;France;Female;21;8;98373.26;1;1;0;18203;0
71;15703793;Konovalova;7.92247E+11;4297588;738;Germany;Male;58;2;133745.44;4;1;0;28373.86;1
72;15620344;McKee;2.5291E+11;5997729;813;France;Male;29;6;0;1;1;0;33953.87;0
73;15812518;Palermo;5.97268E+11;7944558;657;Spain;Female;37;0;163607.18;1;0;1;44203.55;0
74;15779052;Ballard;2.39112E+11;8934739;604;Germany;Female;25;5;157780.84;2;1;1;58426.81;0
75;15770811;Wallace;8.92639E+11;7703541;519;France;Male;36;9;0;2;0;1;145562.4;0
76;15780961;Cavenagh;5.22497E+11;7659593;735;France;Female;21;1;178718.19;2;1;0;22388;0
77;15614049;Hu;7.14053E+11;3306132;664;France;Male;55;8;0;2;1;1;139161.64;0
78;15662085;Read;8.6161E+11;2467598;678;France;Female;32;9;0;1;1;1;148210.64;0
79;15575185;Bushell;8.50982E+11;8985431;757;Spain;Male;33;5;77253.22;1;0;1;194239.63;0
80;15803136;Postle;4.48979E+11;1820658;416;Germany;Female;41;10;122189.66;2;1;0;98301.61;0
81;15706021;Buley;8.76868E+11;4955602;665;France;Female;34;1;96645.54;2;0;0;171413.66;0
82;15663706;Leonard;1.14736E+11;9614963;777;France;Female;32;2;0;1;1;0;136458.19;1
83;15641732;Mills;2.00152E+11;4442168;543;France;Female;36;3;0;2;0;0;26019.59;0
84;15701164;Onyeorulu;2.74378E+11;9541947;506;France;Female;34;4;90307.62;1;1;1;159235.29;0
85;15738751;Beit;9.39326E+11;8290518;493;France;Female;46;4;0;2;1;0;1907.66;0
86;15805254;Ndukaku;9.40119E+11;6861605;652;Spain;Female;75;10;0;2;1;1;114675.75;0
87;15762418;Gant;5.54445E+11;7952360;750;Spain;Male;22;3;121681.82;1;1;0;128643.35;1
88;15625759;Rowley;3.26882E+11;6162211;729;France;Male;30;9;0;2;1;0;151869.35;0
89;15622897;Sharpe;7.13158E+11;3738828;646;France;Female;46;4;0;3;1;0;93251.42;1
90;15767954;Osborne;9.99276E+11;5380681;635;Germany;Female;28;3;81623.67;2;1;1;156791.36;0
91;15757535;Heap;8.62722E+11;1357119;647;Spain;Female;44;5;0;3;1;1;174205.22;1
92;15731511;Ritchie;2.99065E+11;4810769;808;France;Male;45;7;118626.55;2;1;0;147132.46;0
93;15809248;Cole;8.36342E+11;9843413;524;France;Female;36;10;0;2;1;0;109614.57;0
94;15640635;Capon;3.88706E+11;9506720;769;France;Male;29;8;0;2;1;1;172290.61;0
95;15676966;Capon;4.83353E+11;3536805;730;Spain;Male;42;4;0;2;0;1;85982.47;0
96;15699461;Fiorentini;4.82071E+11;1687163;515;Spain;Male;35;10;176273.95;1;0;1;121277.78;0
97;15738721;Graham;5.07388E+11;9155619;773;Spain;Male;41;9;102827.44;1;0;1;64595.25;0
98;15693683;Yuille;3.06117E+11;4322317;814;Germany;Male;29;8;97086.4;2;1;1;197276.13;0
99;15604348;Allard;1.26248E+11;8972300;710;Spain;Male;22;8;0;2;0;0;99645.04;0
100;15633059;Fanucci;7.06347E+11;2498142;413;France;Male;34;9;0;2;0;0;6534.18;0
101;15808582;Fu;2.49602E+11;3664485;665;France;Female;40;6;0;1;1;1;161848.03;0
102;15743192;Hung;9.38088E+11;5298569;623;France;Female;44;6;0;2;0;0;167162.43;0
103;15580146;Hung;8.50837E+11;2614196;738;France;Male;31;9;82674.15;1;1;0;41970.72;0
104;15776605;Bradley;3.7551E+11;6299456;528;Spain;Male;36;7;0;2;1;0;60536.56;0
105;15804919;Dunbabin;1.94786E+11;9002403;670;Spain;Female;65;1;0;1;1;1;177655.68;1
106;15613854;Mauldon;5.57965E+11;7999117;622;Spain;Female;46;4;107073.27;2;1;1;30984.59;1
107;15599195;Stiger;5.75179E+11;7465607;582;Germany;Male;32;1;88938.62;1;1;1;10054.53;0
108;15812878;Parsons;4.12998E+11;3918190;785;Germany;Female;36;2;99806.85;1;0;1;36976.52;0
109;15602312;Walkom;5.20345E+11;6491446;605;Spain;Male;33;5;150092.8;1;0;0;71862.79;0
110;15744689;T'ang;6.40458E+11;5352727;479;Germany;Male;35;9;92833.89;1;1;0;99449.86;1
111;15803526;Eremenko;3.09884E+11;8929281;685;Germany;Male;30;3;90536.81;1;0;1;63082.88;0
112;15665790;Rowntree;4.1413E+11;1936616;538;Germany;Male;39;7;108055.1;2;1;0;27231.26;0
113;15715951;Thorpe;5.94453E+11;6472193;562;France;Male;42;2;100238.35;1;0;0;86797.41;0
114;15591100;Chiemela;5.12966E+11;7457519;675;Spain;Male;36;9;106190.55;1;0;1;22994.32;0
115;15609618;Fanucci;7.70375E+11;3871136;721;Germany;Male;28;9;154475.54;2;0;1;101300.94;1
116;15675522;Ko;2.33589E+11;5561812;628;Germany;Female;30;9;132351.29;2;1;1;74169.13;0
117;15705512;Welch;1.29116E+11;9735586;668;Germany;Female;37;6;167864.4;1;1;0;115638.29;0
118;15698028;Duncan;4.94915E+11;4479344;506;France;Female;41;1;0;2;1;0;31766.3;0
119;15661670;Chidozie;5.62155E+11;4550049;524;Germany;Female;31;8;107818.63;1;1;0;199725.39;1
120;15600781;Wu;3.23498E+11;6841659;699;Germany;Male;34;4;185173.81;2;1;0;120834.48;0
121;15682472;Culbreth;1.21177E+11;9116990;828;France;Male;34;8;129433.34;2;0;0;38131.77;0
122;15580203;Kennedy;5.22197E+11;7700641;674;Spain;Male;39;6;120193.42;1;0;0;100130.95;0
123;15690673;Cameron;1.34308E+11;3159673;656;France;Female;39;6;0;2;1;0;141069.88;0
124;15760085;Calabresi;2.2719E+11;2603164;684;Germany;Female;48;10;126384.42;1;1;1;198129.36;0
125;15779659;Zetticci;4.57892E+11;8030275;625;France;Female;28;3;0;1;0;0;183646.41;0
126;15627360;Fuller;3.95073E+11;1868760;432;France;Male;42;9;152603.45;1;1;0;110265.24;1
127;15671137;MacDonald;6.03762E+11;7180401;549;France;Female;52;1;0;1;0;1;8636.05;1
128;15782688;Piccio;2.8476E+11;4185363;625;Germany;Male;56;0;148507.24;1;1;0;46824.08;1
129;15575492;Kennedy;4.64612E+11;5909709;828;France;Female;41;7;0;2;1;0;171378.77;0
130;15591607;Fernie;7.73605E+11;3934142;770;France;Male;24;9;101827.07;1;1;0;167256.35;0
131;15740404;He;9.64923E+11;5475764;758;France;Female;34;3;0;2;1;1;124226.16;0
132;15718369;Kaodilinakachukwu;4.46556E+11;4356659;795;Germany;Female;33;9;130862.43;1;1;1;114935.21;0
133;15677871;Cocci;2.39371E+11;8781260;687;France;Male;38;9;122570.87;1;1;1;35608.88;0
134;15642004;Alekseeva;8.98518E+11;8697382;686;France;Male;25;1;0;2;0;1;16459.37;0
135;15712543;Chinweike;7.02528E+11;1882742;789;Germany;Male;39;7;124828.46;2;1;1;124411.08;0
136;15584518;Arthur;4.0619E+11;1068484;589;Germany;Female;50;5;144895.05;2;1;1;34941.23;0
137;15802381;Li;9.01001E+11;1343382;461;Germany;Female;34;5;63663.93;1;0;1;167784.28;0
138;15610156;Ma;5.18372E+11;6399373;637;France;Male;40;2;133463.1;1;0;1;93165.34;0
139;15594408;Chia;4.54442E+11;9283724;584;Spain;Female;48;2;213146.2;1;1;0;75161.25;1
140;15640905;Vasin;6.75593E+11;4642958;579;Spain;Female;35;1;129490.36;2;0;1;8590.83;1
141;15698932;Groves;2.68225E+11;9808531;756;Germany;Male;44;10;137452.09;1;1;0;189543.9;0
142;15724944;Tien;4.84683E+11;3738359;663;France;Male;34;7;0;2;1;1;180427.24;0
143;15628145;Forwood;6.24036E+11;4716980;682;France;Female;43;5;125851.93;1;1;1;193318.33;0
144;15713483;Greeves;4.30919E+11;6696985;793;Spain;Male;52;2;0;1;1;0;159123.82;1
145;15612350;Taylor;8.11709E+11;5008429;691;France;Female;31;5;40915.55;1;1;0;126213.84;1
146;15800703;Madukwe;6.80383E+11;8031618;485;Spain;Female;21;5;113157.22;1;1;1;54141.5;0
147;15705707;Bennelong;7.34891E+11;2488857;635;Spain;Female;29;8;138296.94;2;1;0;141075.51;0
148;15754105;Olisanugo;8.88907E+11;1994223;650;France;Male;37;5;106967.18;1;0;0;24495.03;0
149;15703264;Chukwufumnanya;9.67794E+11;1068612;735;France;Male;44;9;120681.63;1;1;0;74836.34;0
150;15794413;Harris;2.55038E+11;1372204;416;France;Male;32;0;0;2;0;1;878.87;0
151;15650237;Morgan;4.6701E+11;1229931;754;Spain;Female;32;7;0;2;1;0;89520.75;0
152;15759618;Alexeeva;4.93847E+11;8701017;535;France;Female;48;9;0;1;1;0;149892.79;1
153;15811589;Metcalfe;4.62784E+11;1678004;716;Spain;Male;42;8;0;2;1;0;180800.42;0
154;15689044;Humphries;1.35613E+11;9568228;539;France;Male;37;2;127609.59;1;1;0;98646.22;0
155;15709368;Milne;8.39404E+11;5035305;614;France;Female;43;6;0;2;1;1;109041.53;0
156;15679145;Chou;5.85218E+11;5583377;706;Spain;Male;57;7;0;1;1;0;17941.16;1
157;15655007;Li;6.49701E+11;2846477;758;France;Female;33;7;0;2;0;0;82996.47;0
158;15623595;Clayton;3.01836E+11;8960562;586;Spain;Female;28;2;0;2;1;1;92067.35;0
159;15589975;Maclean;5.05144E+11;1845336;646;France;Female;73;6;97259.25;1;0;1;104719.66;0
160;15804017;Chigolum;9.08688E+11;5625023;631;Germany;Female;33;4;123246.7;1;0;0;112687.57;0
161;15692132;Wilkinson;4.41246E+11;2827415;717;Spain;Female;22;6;101060.25;1;0;1;84699.56;0
162;15641122;Wei;1.56755E+11;7400793;684;France;Male;30;2;0;2;1;0;83473.82;0
163;15630910;Treacy;1.88194E+11;8650407;800;France;Female;49;7;108007.36;1;0;0;47125.11;0
164;15680772;Hu;7.51032E+11;1080781;721;Spain;Female;36;2;0;2;1;1;106977.8;0
165;15658929;Taverner;8.38671E+11;2851127;683;Spain;Male;29;0;133702.89;1;1;0;55582.54;1
166;15585388;Sherman;8.4488E+11;3134208;660;Germany;Male;31;9;125189.75;2;1;1;139874.43;0
167;15724623;Taubman;9.61061E+11;4049247;704;Germany;Female;24;7;113034.22;1;1;0;162503.48;1
168;15588537;Robinson;2.41807E+11;6738651;615;Spain;Female;41;9;109013.23;1;1;0;196499.96;0
169;15574692;Pinto;3.43498E+11;8463533;667;Spain;Female;39;2;0;2;1;0;40721.24;1
170;15611325;Wood;1.91522E+11;4823519;682;Germany;Male;24;9;57929.81;2;0;0;53134.3;0
171;15587562;Hawkins;2.87892E+11;2761108;484;France;Female;29;4;130114.39;1;1;0;164017.89;0
172;15613172;Sun;5.68521E+11;6228515;628;Germany;Male;27;5;95826.49;2;1;0;155996.96;0
173;15651022;Yost;5.00169E+11;7431015;480;Germany;Male;44;10;129608.57;1;1;0;5472.7;1
174;15586310;Ting;2.37671E+11;5186187;578;France;Male;30;4;169462.09;1;1;0;112187.11;0
175;15625524;Rowe;1.44461E+11;4322483;512;France;Male;40;5;0;2;1;1;146457.83;0
176;15755209;Fu;5.99864E+11;4261693;484;Spain;Female;35;7;133868.21;1;1;1;27286.1;0
177;15645248;Ho;6.73458E+11;1984608;510;France;Female;30;0;0;2;1;1;130553.47;0
178;15790355;Okechukwu;2.39722E+11;1582814;606;Germany;Male;36;5;190479.48;2;0;0;179351.89;0
179;15762615;Campbell;1.97937E+11;3319542;597;Spain;Female;40;8;101993.12;1;0;1;94774.12;0
180;15625426;Ashbolt;8.68949E+11;5667017;754;Germany;Female;55;3;161608.81;1;1;0;8080.85;1
181;15716334;Rozier;1.27118E+11;2406576;850;Spain;Female;45;2;122311.21;1;1;1;19482.5;0
182;15789669;Hsia;4.54247E+11;7721284;510;France;Male;65;2;0;2;1;1;48071.61;0
183;15621075;Ogbonnaya;9.61751E+11;1460433;778;Germany;Female;45;1;162150.42;2;1;0;174531.27;0
184;15810845;T'ang;5.95619E+11;9560636;636;France;Male;42;2;0;2;1;1;55470.78;0
185;15719377;Cocci;4.99265E+11;6912642;804;France;Female;50;4;0;1;1;1;8546.87;1
186;15654506;Chang;3.79397E+11;8351497;514;France;Male;32;8;0;2;1;0;95857.18;0
187;15771977;T'ao;6.92357E+11;6700813;730;France;Female;39;1;99010.67;1;1;0;194945.8;0
188;15708710;Ford;4.10527E+11;9565930;525;Spain;Female;37;0;0;1;0;1;131521.72;0
189;15726676;Marshall;8.11985E+11;7641342;616;Spain;Male;30;5;0;2;0;1;196108.51;0
190;15587421;Tsai;3.60539E+11;9245499;687;Germany;Female;34;7;111388.18;2;1;0;148564.76;0
191;15726931;Onwumelu;7.80829E+11;2536277;715;France;Female;41;8;56214.85;2;0;0;92982.61;1
192;15771086;Graham;6.36764E+11;1526994;512;France;Female;36;3;84327.77;2;1;0;17675.36;0
193;15756850;Golovanov;1.71575E+11;7966551;479;France;Male;40;1;0;2;0;0;114996.43;0
194;15702741;Potts;5.85639E+11;9440927;601;France;Male;32;8;93012.89;1;1;0;86957.42;0
195;15679200;Crawford;2.98306E+11;2173837;580;Spain;Male;29;9;61710.44;2;1;0;128077.8;0
196;15594815;Aleshire;2.77827E+11;5620671;807;France;Male;35;3;174790.15;1;1;1;600.36;0
197;15635905;Moran;3.87388E+11;9181763;616;Spain;Female;32;6;0;2;1;1;43001.46;0
198;15777892;Samsonova;9.7326E+11;2373201;721;Germany;Male;37;3;107720.64;1;1;1;158591.12;0
199;15656176;Jenkins;6.62366E+11;2154657;501;France;Male;57;10;0;2;1;1;47847.19;0
200;15811127;Volkov;4.63154E+11;7497427;521;France;Male;35;6;96423.84;1;1;0;10488.44;0
201;15604482;Chiemezie;9.82774E+11;3644878;850;Spain;Male;30;2;141040.01;1;1;1;5978.2;0
202;15622911;Jude;2.5229E+11;2919460;759;France;Male;42;4;105420.18;1;0;1;121409.06;0
203;15600974;He;6.6483E+11;5005851;516;Spain;Male;50;5;0;1;0;1;146145.93;1
204;15727868;Onuora;8.1985E+11;9635408;711;France;Female;38;2;129022.06;2;1;1;14374.86;1
205;15627801;Ginikanwa;7.11625E+11;3831019;512;Spain;Male;33;3;176666.62;1;1;0;94670.77;0
206;15773039;Ku;2.92157E+11;1683700;550;France;Male;37;3;0;1;1;1;179670.31;0
207;15755262;McDonald;1.59861E+11;8987078;608;Spain;Female;41;3;89763.84;1;0;0;199304.74;1
208;15679531;Collins;1.69688E+11;2280115;618;France;Male;34;5;134954.53;1;1;1;151954.39;0
209;15684181;Hackett;1.54624E+11;2290628;643;France;Male;45;5;0;1;1;0;142513.5;1
210;15612087;Dike;2.82349E+11;4313938;671;France;Male;45;2;106376.85;1;0;1;158264.62;0
211;15752047;Trevisano;6.74786E+11;6602684;689;Germany;Male;33;2;161814.64;2;1;0;169381.9;0
212;15624592;Tan;2.43163E+11;3361074;603;France;Male;31;8;0;2;1;1;169915.02;0
213;15573152;Glassman;5.49899E+11;3748943;620;France;Female;41;9;0;2;0;0;88852.47;0
214;15594917;Miller;9.44432E+11;8769092;676;France;Female;34;1;63095.01;1;1;1;40645.81;0
215;15785542;Kornilova;8.81784E+11;6131491;572;Germany;Male;26;4;118287.01;2;0;0;60427.3;0
216;15723488;Watson;2.02876E+11;8705730;668;Germany;Male;47;7;106854.21;1;0;1;157959.02;1
217;15680920;Marchesi;8.0259E+11;1691510;695;France;Male;46;7;49512.55;1;1;0;133007.34;0
218;15786308;Millar;3.54347E+11;1373399;730;Spain;Female;33;9;0;2;0;0;176576.62;0
219;15659366;Shih;2.38127E+11;4301409;807;France;Male;43;1;105799.32;2;1;0;34888.04;1
220;15774854;Fuller;5.62051E+11;9752110;592;France;Male;54;8;0;1;1;1;28737.71;1
221;15725311;Hay;1.31206E+11;5807642;726;France;Female;31;9;114722.05;2;1;1;98178.57;0
222;15787155;Yang;9.3103E+11;4607246;514;Spain;Male;30;7;0;1;0;1;125010.24;0
223;15727829;McIntyre;5.68971E+11;5018116;567;France;Male;42;2;0;2;1;1;167984.61;0
224;15733247;Stevenson;5.80884E+11;2614311;850;France;Male;33;10;0;1;1;0;4861.72;1
225;15568748;Poole;8.78318E+11;6061550;671;Germany;Male;45;6;99564.22;1;1;1;108872.45;1
226;15699029;Bagley;1.81481E+11;2623375;670;France;Male;37;4;170557.91;2;1;0;198252.88;0
227;15774393;Ch'ien;5.08355E+11;8766874;694;France;Female;30;9;0;2;1;1;26960.31;0
228;15676895;Cattaneo;5.01052E+11;3380459;547;Germany;Female;39;6;74596.15;3;1;1;85746.52;1
229;15637753;O'Sullivan;3.78815E+11;2332599;751;Germany;Male;50;2;96888.39;1;1;0;77206.25;1
230;15605461;Lucas;9.27544E+11;4445223;594;Germany;Female;29;3;130830.22;1;1;0;61048.53;0
231;15808473;Ringrose;2.16736E+11;1074066;673;France;Male;72;1;0;2;0;1;111981.19;0
232;15627000;Freeman;1.23904E+11;1378279;610;France;Male;40;0;0;2;1;0;62232.6;0
233;15787174;Sergeyev;6.38602E+11;2930839;512;France;Female;37;1;0;2;0;1;156105.03;0
234;15723886;Fiore;9.96999E+11;4502035;767;Germany;Male;20;3;119714.25;2;0;1;150135.38;0
235;15704769;Smith;2.11613E+11;6784065;585;France;Female;67;5;113978.97;2;0;1;93146.11;0
236;15772896;Dumetochukwu;1.02702E+11;6801435;763;Germany;Male;42;6;100160.75;1;1;0;33462.94;1
237;15711540;Pacheco;1.65166E+11;7342869;712;France;Female;29;2;0;1;1;1;144375;0
238;15764866;Synnot;1.51996E+11;9537228;539;Germany;Female;43;3;116220.5;3;1;0;55803.96;1
239;15794056;Johnston;9.17363E+11;4162783;668;France;Female;46;2;0;3;1;0;89048.46;1
240;15795149;Stevens;5.1681E+11;2597220;703;France;Male;28;2;81173.83;2;0;1;162812.16;0
241;15812009;Grant;2.38811E+11;6303240;662;Spain;Male;38;4;0;2;1;0;136259.65;0
242;15651001;Tsao;7.79479E+11;1391649;725;Germany;Female;39;5;116803.8;1;1;0;124052.97;0
243;15813844;Barnes;4.86926E+11;7551902;703;France;Male;37;8;105961.68;2;0;1;74158.8;0
244;15596175;McIntosh;6.63271E+11;6152490;659;Germany;Male;67;6;117411.6;1;1;1;45071.09;1
245;15576269;Madison;2.77022E+11;8180090;523;Spain;Male;34;7;0;2;1;0;62030.06;0
246;15797219;Ifesinachi;7.70412E+11;3710019;635;France;Female;40;10;123497.58;1;1;0;131953.23;1
247;15685500;Glazkov;1.21481E+11;4319229;772;Germany;Male;26;7;152400.51;2;1;0;79414;0
248;15599792;Dimauro;8.39222E+11;3850572;545;France;Female;26;1;0;2;1;1;199638.56;0
249;15657566;Wieck;4.71295E+11;6424211;634;Germany;Male;24;8;103097.85;1;1;1;157577.29;0
250;15772423;Liao;8.76213E+11;4643928;739;Germany;Male;54;8;126418.14;1;1;0;134420.75;1
251;15628112;Hughes;9.733E+11;9447768;771;Germany;Female;36;5;77846.9;1;0;0;99805.99;0
252;15753754;Morrison;7.05366E+11;9664025;587;Spain;Female;34;1;0;2;1;1;97932.68;0
253;15793726;Matveyeva;9.49455E+11;9652396;681;France;Female;79;0;0;2;0;1;170968.99;0
254;15694717;Ku;2.83397E+11;4929429;544;Germany;Male;37;2;79731.91;1;1;1;57558.95;0
255;15665834;Cheatham;5.60072E+11;9752134;696;Spain;Male;28;8;0;1;0;0;176713.47;0
256;15765297;Yao;1.20047E+11;2365187;766;Spain;Male;41;0;0;2;0;1;34283.23;0
257;15636684;Kirkland;3.09337E+11;1891756;727;France;Male;34;10;0;2;1;1;198637.34;0
258;15592979;Rose;1.58503E+11;4113595;671;Germany;Female;34;6;37266.67;2;0;0;156917.12;0
259;15750803;Jess;9.13819E+11;3874928;693;France;Female;30;6;127992.25;1;1;1;50457.2;0
260;15607178;Welch;2.04872E+11;6073191;850;Germany;Male;38;3;54901.01;1;1;1;140075.55;0
261;15713853;Ifeajuna;5.47029E+11;2260215;732;Germany;Male;42;9;108748.08;2;1;1;65323.11;0
262;15673481;Morton;1.40829E+11;9844793;726;Spain;Female;48;6;99906.19;1;1;0;64323.24;0
263;15686776;Rossi;3.49762E+11;4051196;557;France;Female;32;6;184686.41;2;1;0;14956.44;0
264;15673693;Reppert;9.1947E+11;9578577;682;France;Female;26;0;110654.02;1;0;1;111879.21;0
265;15700696;Kang;6.64016E+11;5187015;738;Spain;Male;31;9;79019.8;1;1;1;18606.23;0
